"type";"ville";"prix";"surface";"nb_pieces";"nb_chambres";"description"
"ventes-appartements";"Paris 18E (75018)";"898000";"75";"4";"3";"Foyer du bonheur, en plein cœur du village, Abbesses Montmartre à Paris, très calme, traversant, 4 pièces, ensoleillé, sans vis-à-vis, 3 chambres, salon salle à manger, cuisine américaine, salle de..."
"ventes-appartements";"Paris 15E (75015)";"430000";"41";"2";"1";"Au Coeur de Paris 15, Quartier  Convention, animé, tous commerces, marché bi-hebdomadaire, cinémas.  Appartement parisien de 2 pièces , rénové. Séjour et chambre à coucher avec parquet ancien en bon..."
"ventes-appartements";"Paris 15E (75015)";"497000";"48.20";"2";"1";"Bel appartement, idéal pied-à-terre parisien, entièrement refait avec des prestations haut de gamme. Aucun travaux à prévoir. Situé au 6ᵉ étage, il bénéficie d'une belle orientation, d'un calme..."
"ventes-appartements";"Paris 15E (75015)";"455000";"53";"3";"2";"Quartier parc Gorges Brassens proche commerces et écoles. Appartement 3 pièces avec une grande cuisine dînatoire, deux chambres, un salon (possible 3ème chambre), pas de travaux à prévoir. Au second..."
"ventes-appartements";"Paris 15E (75015)";"350000";"36.34";"2";"1";"Rue du Hameau, dans un quartier très agréable, à 6 minutes de marche du Palais des Expositions de la Porte de Versailles, appartement de 2 Pièces pour une surface Carrez de 36,34 m2, comprenant un..."
"ventes-appartements";"Paris 16E (75016)";"2050000";"164";"6";"3";"Paris 16e - Idéalement situé à proximité de l'avenue Henri Martin et du Flandrin, cet appartement propose une vaste entrée, une grande pièce de réception de 47 m2, une cuisine dinatoire séparée, une..."
"ventes-appartements";"Paris 16E (75016)";"760000";"69.10";"4";"2";"Appartement familial très agréable dans une résidence calme**. 2ᵉ étage sans ascenseur. Cuisine entièrement équipée Suite parentale avec salle de bains & wc 1 chambre avec placards Salle de douche &..."
"ventes-appartements";"Paris 18E (75018)";"475000";"60";"3";"2";"Situé au 2ᵉ étage d'un immeuble bien entretenu récemment ravalé, cet appartement traversant Est-Ouest, entièrement sur cour, offre un calme absolu et une belle luminosité tout au long de la journée."
"ventes-appartements";"Paris 18E (75018)";"191500";"21.19";"1";"";"Agences et chasseurs merci de vous abstenir, cette annonce se destine exclusivement aux particuliers.  Dans un bon immeuble ancien de la rue Doudeauville, quartier Château Rouge, au cinquième étage..."
"ventes-appartements";"Paris 18E (75018)";"100000";"10";"1";"";"Studette meublée, très claire, avec salle d'eau indépendante ( wc et douche) 6 eme étage sur 6 Placards sur mesure Fenêtre double vitrage du 2022, ballon eau chaude neuf  juin 2025. Métro , commerces..."
"ventes-appartements";"Paris 2E (75002)";"1730000";"151";"6";"4";"**Superbe appartement**  6 pièces 151m²/ **Paris 2ème Vivienne-Ggaillon**  **Achat direct propriétaire** :  **professionnels de l'immobilier** : **pas de démarchage**! **Merci.**  **Proche de la..."
"ventes-appartements";"Paris 18E (75018)";"252000";"33.12";"2";"1";"Paris 18ème, Porte de Saint-Ouen, bel appartement 2 pièces, refait à neuf de 33,12 m2 au 5ème étage sans ascenseur. Exposition Sud-Ouest, au calme, sur cour. Entrée, placard. Cuisine ouverte..."
"ventes-appartements";"Paris 18E (75018)";"650000";"64";"3";"2";"À vendre, très bel appartement 3 pièces situé rue Marcadet, à proximité immédiate du métro Guy Môquet, dans un quartier vivant et recherché du 18ᵉ arrondissement de Paris.  D’une surface de 63,9 m²..."
"ventes-appartements";"Paris 18E (75018)";"335000";"35.10";"2";"1";"Cité Pilleux.  Voie Privée sécurisée, piétonne, ensoleillée, fleurie; ancienne cité d'artisans ayant gardé  son caractère ""vieux Paris"". **Très calme et très rare**.   Proximité métro La Fourche ..."
"ventes-appartements";"Paris 18E (75018)";"198000";"23.51";"1";"";"Idéal investisseur, étudiant,  jeune couple ou retraité. Agences s'abstenir : annonce réservée aux particuliers.  LE STUDIO Situé au 1ᵉʳ étage avec vue dégagée sur jardin (non accessible). Rénové en..."
"ventes-appartements";"Paris 18E (75018)";"510000";"41";"3";"1";"Au coeur du quartier vivant et commerçant de Montmartre, au premier étage d'un immeuble pierre de taille, appartement traversant de 41 m2. Composé d'un séjour/salle à manger lumineux de 20 m2,..."
"ventes-appartements";"Paris 19E (75019)";"334620";"29";"2";"1";"Nous vous présentons un appartement T2 **entièrement refait à neuf situé au dernier étage ,  qui se trouve dans un immeuble qui a été entièrement rénové, bénéficiant d'une façade qui a été..."
"ventes-appartements";"Paris 19E (75019)";"328000";"46.20";"2";"1";"2 pièces de 46 m². Agréable, lumineux et calme. exposé SUD. Paris 19 -ème. 3 ème étage avec ascenseur.  Les points forts : • Exposition plein SUD : Une luminosité optimale garantie toute la journée (..."
"ventes-appartements";"Paris 19E (75019)";"368000";"36.36";"2";"1";"Deux pièces, situé rue de Nantes à 60 m du canal de l’Ourcq, très calme, se trouve sur l’arrière au 1er étage. Avec une façade de type haussmannien, l’immeuble a fait l’objet de nombreux travaux de..."
"ventes-appartements";"Paris 20E (75020)";"330000";"27";"2";"1";"**Super Joli 2 pièces, 27 m2, très bien agencé et refait à neuf par décorateur **  Dans une cour arborée de la VILLA DE L ERMITAGE , quartier Jourdain Pyrénées Gambetta. 1ᵉʳ étage sans vis-à-vis donc..."
"ventes-appartements";"Paris 20E (75020)";"615000";"61";"3";"2";"**3 pièces lumineux avec balcon** – Immeuble récent – Calme sur jardin – Paris, 20e arrondissement. Entre Saint-Fargeau et La Campagne à Paris, dans un immeuble  livré en 2015, appartement 3 pièces..."
"ventes-appartements";"Paris 20E (75020)";"479000";"47";"3";"2";"Nous avons passé de très belles années dans ce 3 pièces situé dans une petite rue calme entre la place Gambetta et le cimetière du Père Lachaise. **Très lumineux** (double exposition..."
"ventes-appartements";"Paris 15E (75015)";"329000";"38.20";"2";"1";"A 5 min à pied de la gare Montparnasse, rue Dulac (15ème), métro Pasteur.  **appartement 2/3 entièrement rénové**, rez-de-chaussée traversant sur rue très calme et sur cour. Cuisine équipée avec..."
"ventes-appartements";"Paris 17E (75017)";"695000";"63";"3";"2";"Paris 17, à la lisière de Neuilly-sur-Seine, au sein d’un immeuble semi récent, de bon standing, appartement de 3 pièces de 63 m2 loi carrez. Au 3ème étage par ascenseur, le plan comprend une entrée,..."
"ventes-appartements";"Paris 3E (75003)";"359000";"32";"2";"1";"Appartement  de 32m² + combles aménagés de 8m², calme et lumineux dans une rue piétonne au cœur de Paris. Très bien desservi par les transports en commun. Il se compose d'une grande pièce avec..."
"ventes-appartements";"Paris 20E (75020)";"580000";"70";"3";"2";"3 pièces – 70 m² – **Terrasse sur jardin surélevé – Calme** absolu – Paris 20ᵉ Gambetta.  Très bel appartement de 3 pièces au 1er étage sur 5 avec ascenseur, dans une petite copropriété très bien..."
"ventes-appartements";"Paris 19E (75019)";"350000";"32";"2";"1";"Situé en plein coeur du très charmant quartier des buttes Chaumont et à quelques mètres seulement du parc, cet appartement de deux pièces allie le charme parisien au calme d'une vue sur cour. ..."
"ventes-appartements";"Paris 11E (75011)";"1010000";"80";"4";"2";"Appartement 4 pièces de 80 m², rue du Chemin Vert,  4ᵉ étage, ascenseur. **Bel appartement familial**, situé au 4ᵉ étage avec ascenseur d’un immeuble bien entretenu.   Descriptif : •	Salon – salle à..."
"ventes-appartements";"Paris 3E (75003)";"190000";"14.26";"1";"";"Le studio se situe au 2ᵉ étage d'un immeuble ancien, sans ascenseur, très bien entretenu et donne sur une cour intérieure. **Il est donc au calme. Son état général est impeccable**. Les peintures..."
"ventes-appartements";"Paris 9E (75009)";"66000";"7";"1";"1";"Rue de Maubeuge, dans un très bel immeuble pierre de taille, au dernier étage avec ascenseur, une chambre classée en G et en bon état général. Libre de toute location. Une pièce avec coin cuisine et..."
"ventes-appartements";"Paris 10E (75010)";"926000";"85.09";"5";"3";"Appartement traversant de 4/5 pièces à la limite du 3e arrondissement, donnant sur la rue de Lancry et sur une cour végétalisée. Rénové en 2019, l'appartement de 85,09 m² en loi Carrez (87,18 m² au..."
"ventes-appartements";"Paris 3E (75003)";"390000";"32.65";"2";"1";"Cet appartement de 2 pièces se trouve au 1er étage d'un immeuble ancien sans ascenseur, très bien entretenu. **Il est en excellent état**. Le séjour et la chambre à coucher donnent sur une rue..."
"ventes-appartements";"Paris 11E (75011)";"395000";"35";"2";"1";"Situé rue du Chemin Vert dans le 11ᵉ arrondissement de Paris, ce deux pièces de  35 m² se trouve au premier étage sur cinq d'une copropriété propre et bien tenue et donne sur une cour intérieure, au..."
"ventes-appartements";"Paris 12E (75012)";"1110000";"115.58";"5";"3";"Situé Boulevard Soult, en face d'un parc, proche des transports en commun et des commerçants. Ce bien est composé de **2 appartements mitoyens** situés au 3eme étage sur 5, avec ascenseur, sur un..."
"ventes-appartements";"Terrasse Soleil Paris 12E (75012)";"1540000";"112.40";"5";"4";"Terrasse plein ciel au soleil. **Très rare à Paris 12ᵉ.**  Luminosité exceptionnelle. Résidence calme, récente, sécurisée, arborée, très bien entretenue avec ascenseur, gardien, local poussettes et..."
"ventes-appartements";"Paris 20E (75020)";"415000";"45.04";"2";"1";"**Beau 2 pièces** de 45,04 m² (loi Carrez), **rénové, aucun travaux à prévoir**. Appartement **lumineux, bien agencé (exposition sud-est), au calme, sans vis-à-vis**, au 3ᵉ étage avec 2 ascenseurs."
"ventes-appartements";"Paris 18E (75018)";"415000";"43";"2";"1";"Très proche du métro et de toutes commodités À 10mn à pied du Sacré Cœur Appartement 2 pièces Avec accès sur les jardins de la copropriété (TABLE ET CHAISES OK)- appartement traversant et lumineux (..."
"ventes-appartements";"Paris 19E (75019)";"1300000";"135";"6";"3";"Buttes- Chaumont/Laumiere; très beau 6 pièces impeccable dans bel immeuble haussmanien. Parquet moulures cheminées; PLAN PARFAIT. Entrée + entrée de service . triple living ; Trois chambres  ."
"ventes-appartements";"Paris 9E (75009)";"210000";"14";"2";"1";"Studette dans  9e arrondissement très bien située : refaite à neuf en 2019 et entièrement rafraîchie en mars 2026. Dans une petite copropriété saine, en rez-de-chaussée   bonne exposition et donnant..."
"ventes-appartements";"Paris 15E (75015)";"470000";"45";"2";"1";"Dans un quartier vivant et bien desservi, à proximité immédiate de tous commerces de bouche, d'artisans et de grandes enseignes, du marché de la rue Lecourbe, appartement très lumineux entièrement..."
"ventes-appartements";"Paris 19E (75019)";"379000";"40";"2";"1";"Au cœur du quartier dynamique du pont de Flandre, sur le quai de la Gironde, au 3ᵉ étage d'une copropriété très bien tenue avec ascenseur et gardien, ce 2 pièces moderne de 40 m² a été entièrement..."
"ventes-appartements";"Paris 13E (75013)";"460000";"53";"2";"1";"Au pied du métro Tolbiac, charmant 2 pièces dans l'ancien avec cachet. Situé au 1er étage d'un immeuble ancien bien entretenu, cet appartement de deux pièces offre le charme de l'ancien (belles..."
"ventes-appartements";"Paris 13E (75013)";"480000";"38";"2";"1";"Dans bel immeuble,  appartement 2 pièces 37,10 m² / Rez-de-chaussée / sur 2 niveaux / seul dans une entrée privative / idéalement situé / hauteur sous plafond de 3,50 m / jamais habité . Limite 5ᵉ,..."
"ventes-appartements";"Paris 6E (75006)";"252000";"12.07";"1";"";"Produit **rare** ! Très belle adresse, quartier coup de cœur. Idéale pour un pied-à-terre ou pour étudiant/étudiante. Studio de 12,07 m² au calme en plein quartier Jardin de Luxembourg et à deux pas..."
"ventes-appartements";"Paris 8E (75008)";"1900000";"170";"4";"3";"Appartement spacieux de 170 m² situé dans le 8ᵉ arrondissement, à deux pas du Parc Monceau et à environ 15 minutes à pied des Champs-Élysées. Dans un immeuble haussmannien avec ascenseur et gardien,..."
"ventes-appartements";"Paris 14E (75014)";"387000";"47.30";"2";"1";"**Proximité métro Glacière et parc Montsouris**  Charmant appartement situé en rez-de-chaussée et d'une surface habitable de 47m2, il se compose d'une entrée principale, un bel espace de vie lumineux..."
"ventes-appartements";"Paris 12E (75012)";"299000";"29";"2";"1";"Confortable studio **vendu studio meublé**, refait à neuf par un architecte décorateur de 29 m2, très calme, lumineux, au deuxième étage avec ascenseur, vue dégagée, immeuble de bon standing situé..."
"ventes-appartements";"Paris 13E (75013)";"450000";"42";"2";"1";"[SOUS COMPROMIS]  Paris 13e – Limite 5e. A 10 minutes à pied du Jardin des Plantes.  Bel appartement lumineux de 42m², en très bon état situé au 7ème d'un immeuble sécurisé de 8 étages avec..."
"ventes-appartements";"Paris 12E (75012)";"272000";"27";"2";"1";"Rue de Charenton, entre Reuilly Diderot et Gare de Lyon, un **joli petit loft atypique** de 25,16 m² Carrez et 29,16 m² de surface au sol dont 3,2m² escalier intérieur, orienté sud / sud-ouest avec..."
"ventes-appartements";"Paris 6E (75006)";"690000";"60.50";"3";"2";"Rue de Condé, adresse d'exception dans un élégant immeuble du 17ème siècle En plein cœur du beau 6ème arrondissement dans un quartier historique à la fois résidentiel et commerçant. Idéal..."
"ventes-appartements";"Paris 14E (75014)";"748000";"75.50";"3";"2";"Très bel appartement lumineux et traversant avec vue dégagée, situé dans une rue calme du 14ᵉ arrondissement, à proximité des stations Alésia et Plaisance, des commerces, écoles et hôpitaux.  Au 1ᵉʳ..."
"ventes-appartements";"Paris 1Er (75001)";"150000";"9.46";"1";"1";"Studette lumineuse refaite à neuf – Paris 1 – 6ᵉ étage – Immeuble haussmannien sécurisé. Dans un magnifique immeuble haussmannien parfaitement entretenu et très sécurisé, charmante studette..."
"ventes-appartements";"Paris 18E (75018)";"795000";"84";"4";"2";"**Appartement 4 pièces – 84 m² – 4ᵉ étage – Balcon**  Bien situé, très calme, dans un quartier vivant et agréable, desservi par la ligne de métro 13 (Guy-Moquet), ainsi que plusieurs lignes de bus,..."
"ventes-appartements";"Paris 15E (75015)";"1050000";"100";"4";"2";"Dans le 15ᵉ arrondissement, près du Square du Clos Feuquières, cet appartement de 100 m² se situe au 4ᵉ étage d’un bel immeuble haussmannien de 5 étages avec ascenseur.  Il offre de beaux volumes et..."
