type_transaction,type_bien,prix,surface,nb_pieces,nb_chambres,ville,code_postal,description,source
location,Appartement,1540.0,35.0,3.0,,Paris,75011,"Dans le super coin du 11e, entre Parmentier et Oberkampf, nous cherchons des colocataires pour notre chouette bureau. Vous disposez d'un joli bureau privé, lumineux, calme et chaleureux comprenant :...",pap
location,Appartement,1500.0,56.0,2.0,,Annecy,74000,,entreparticuliers
location,Appartement,1462.0,91.0,4.0,,Strasbourg,67000,Appartement 4 pièces à Louer !. Rue de la Brigade d'Alsace Lorraine - Proche de l'arrêt de tram et bus Etoile Bourse - Strasbourg. A proximité du centre ville de Strasbourg.,orpi
location,Appartement,1450.0,22.0,1.0,,Paris,75009,"Joli studio disponible à la location courte et longue durée; Entre Opéra et Montmartre studio repensé par architecte. Prestations de qualité : parquet, hauteurs de 3m, au calme sur cour intérieure,...",pap
location,Appartement,1420.0,109.0,3.0,,Nanterre,92000,À louer local stockage activité possibilité bureau  au 11 /13 rue Paul Bertin Nanterre 92000 Environ 109 m2 situé fond de cours accès 24h24 surveillance vidéo Loyer 1.400 E HT mois.,pap
location,Appartement,1390.0,50.0,2.0,1.0,Saint-denis,93200,"A 1 min à pied de la station de métro Front Populaire (ligne 12). Quartier moderne et calme, avec tous les commerces à proximité (pharmacie, boulangeries, café, supermarché, primeur…). Directement au...",pap
location,Appartement,1340.0,31.0,2.0,1.0,Levallois-perret,92300,2 pièces Meublées  - Levallois Perret  (95210) – Station Clichy Levallois à 180 m– Métro Ligne 3 à 12 min -So Ouest à proximité et  Paris 17ème à 10min de marche.  Appartement meublé 2 pièces  de 31...,pap
location,Appartement,1299.0,21.0,1.0,,Paris,75008,Disponible Studio de 20m2 redesigné par architecte d'intérieur.  Profitez de ce logement exclusif en plein cœur du 8e arrondissement de Paris.  Le bien est loué meublé et tout équipé :  nécessaire de...,pap
location,Appartement,1290.0,39.0,2.0,,Boulogne-billancourt,92100,,entreparticuliers
location,Appartement,1272.0,31.0,2.0,,Paris 17,75017,"Votre agence ORPI Gambetta vous présente en exclusivité un beau appartement 2 pièces, rue Legendre, au 4ème étage sans ascenseur sur cour calme. L'appartement comprend pièce principale avec coin cuisine, salle de douche avec WC et une chambre.",orpi
location,Appartement,1253.0,111.0,4.0,,Aurillac,15000,,orpi
location,Appartement,1250.0,97.0,5.0,,Saint,91240,"F5 meublé à louer. Au 2è étage avec ascenseur de la résidence, appartement de type F5 en très bon état général.",orpi
location,Appartement,1200.0,87.0,3.0,,Venelles,13770,"appartement type 3 venelles. Votre agence Orpi vous propose à Venelles ce bel appartement de type 3 refait à neuf. Il est composé d'une grande pièce à vivre ouverte sur une cuisine équipé, une buanderie, l'espace nuit est composé de 2 belles chambres, une salle de bain avec double vasque. une autre pièce pouvant servir de bureau, un extérieur de 80m² et une terrasse complètent ce bien. stationnement libre devant l'habitation.",orpi
location,Appartement,1171.0,59.0,3.0,,Lyon 3,69003,"T3 de 58,90 m2 - Lyon 3. Appartement meublé de type T3 de 58,90 m2 situé au 22 rue Jeanne d'Arc, au 5ème étage avec ascenseur. L'appartement est composé d'un hall d'entrée, d'un grand séjour donnant sur un balcon, d'une cuisine indépendante aménagée et équipée, de deux chambres, d'un WC indépendant et d'une salle de bain.",orpi
location,Appartement,1134.0,61.0,2.0,,Lyon,69001,,entreparticuliers
location,Appartement,1127.0,66.0,3.0,,Cannes,6150,,entreparticuliers
location,Appartement,1090.0,14.0,3.0,,Paris,75017,"Bureau de 14m2 disponible dans ce très beau centre refait à neuf, au rez-de-chaussée d'un immeuble de standing au coeur du quartier à la fois animé et résidentiel haut de gamme à proximité de la...",pap
location,Appartement,1064.0,54.0,3.0,,Lille,59000,,entreparticuliers
location,Appartement,1050.0,63.0,3.0,,Bondy,93140,,entreparticuliers
location,Appartement,1050.0,53.0,2.0,,Cergy,95000,,entreparticuliers
location,Appartement,1050.0,27.0,1.0,,Boulogne-billancourt,92100,,entreparticuliers
location,Appartement,1050.0,25.0,1.0,,Pré-saint-gervais,93310,"Charmant studio rénové idéalement situé à quelques minutes à pied des métros Porte des Lilas et Mairie des Lilas, des commerces et des espaces verts.  Idéal pour étudiant ou jeune actif qui souhaite...",pap
location,Appartement,1000.0,73.0,3.0,,Strasbourg,67100,"Découvrez en EXCLUSIVITÉ ORPI ce charmant appartement situé à STRASBOURG NEUDORF, au 4ème étage avec ascenseur, dans un immeuble récemment rénové (façade et isolation refaites) et classé DPE : C. Idéalement situé à proximité du tram, ce 3 pièces de 73,44 m² offre un séjour lumineux, deux chambres confortables, une cuisine équipée, et une salle de bain avec W.C séparé.",orpi
location,Appartement,1000.0,72.0,4.0,,Rouen,76000,,entreparticuliers
location,Appartement,1000.0,41.0,2.0,,Nice,6000,,entreparticuliers
location,Appartement,1000.0,28.0,1.0,,Issy-les-moulineaux,92130,,entreparticuliers
location,Appartement,998.0,20.0,1.0,,Paris,75002,"Charmant studio, très au calme dans ce que beaucoup considèrent comme le meilleur quartier de Paris : excellents commerces, restaurants, cafés, musées... Vous bénéficierez de tous les avantages d'un...",pap
location,Appartement,990.0,100.0,4.0,,Savigny-en-revermont,71580,,entreparticuliers
location,Appartement,980.0,61.0,3.0,,Corbeil,91100,,orpi
location,Appartement,969.0,57.0,2.0,,Lambesc,13410,"Appartement Lambesc 3 pièce(s) 57 m2. Votre agence ORPI LAMBESC vous propose, dans résidence récente 'le clos sévigné ', sécurisée T3 lumineux au centre de LAMBESC, proche des commodités. Séjour avec cuisine ouverte aménagée et équipée ( plaques four hotte, réfrigérateur, lave-vaisselle, lave-linge ) donnant sur une belle terrasse de 33 m², 2 chambres, salle de bains avec baignoire et wc séparé. Deux places de parking (une extérieur et un box fermé). Disponible début mai",orpi
location,Appartement,967.0,32.0,1.0,,Paris,75001,,entreparticuliers
location,Appartement,950.0,76.0,3.0,,Saint,29290,"Appartement T3 À Louer à Saint-Renan. Appartement T3 à louer, idéalement situé à Saint-Renan, offrant 76 m² en parfait état. Il séduit par sa luminosité grâce à de larges verrières et une belle hauteur sous plafond. Il se compose d'une cuisine équipée ouverte sur une pièce de vie chaleureuse, deux chambres, un bureau, un dégagement, une salle d'eau et un WC. Vous profiterez également d'une terrasse privative, idéale pour les moments de détente, et de deux places de parking (dont une avec prise électrique).",orpi
location,Appartement,950.0,37.0,2.0,,Toulouse,31000,TOULOUSE - Jean-Jaurès / Belfort - Charmant Appartement T2 Meublé Parking - Balcon. TOULOUSE - Jean Jaurès / Belfort - Charmant Appartement T2 Meublé Parking - Balcon,orpi
location,Appartement,950.0,33.0,1.0,,Hyères,83400,,entreparticuliers
location,Appartement,950.0,23.51,1.0,,Paris,75018,Idéal étudiant ou jeune actif. Studio libre à partir du 1ᵉʳ mai 2026. Visites possibles du lundi au vendredi entre 12 h 30 et 14 h ou le samedi entre 16 h et 17 h.  LE STUDIO Situé au 1ᵉʳ étage avec...,pap
location,Appartement,950.0,19.0,1.0,,Paris,75009,"Studio en très bon état à 2 min à pied des Galeries Lafayette. Situé au 3ème étage avec ascenseur. Comprenant : pièce principale avec grand canapé lit, grand placard, TV écran plat, coin cuisine...",pap
