"transaction";"type_bien";"prix";"surface";"nb_pieces";"nb_chambres";"ville";"code_postal";"description";"source"
"locations";"maisons";"1400";"110.0";"4";"3";"Épône";"78680";"Je loue cette belle maison de village de 4 pièces, d'une surface de 110 m², située à Épône. Cette maison non meublée de 2 étages a été construite dans le passé. Cette maison comprend 3 chambres et 2...";"pap"
"locations";"maisons";"695";"35.0";"2";"1";"Goussainville";"28410";"T2 Meublé en duplex avec mezzanine, terrasse et parking (2 places), située au calme dans une copropriété sécurisée avec portail électrique. Une pièce de vie agréable et lumineuse avec espace salon et...";"pap"
"locations";"maisons";"750";"90.0";"4";"2";"Solliès-Toucas";"83210";"**Idéal Colocation Étudiants et/ou étudiant(e) seul(e), Stagiaires, personnes en apprentissage. Bail Mobilité (1 à 10 mois) Pas de location annuelle** Animaux pas admis  Location maison de village...";"pap"
"locations";"maisons";"1400";"70.0";"4";"2";"Champigny-Sur-Marne";"94500";"À louer pavillon en fond de jardin Salon, salle de bain avec douche, cuisine équipée, chambre, wc. Salon avec cuisine et barbecue. À l’étage chambre et salle de bain avec baignoire Petit jardin...";"pap"
"locations";"maisons";"585";"44.0";"3";"1";"Fleury";"11560";"**Maison de village de 3 pièces**, d'une surface de 44 m², située à Fleury. Cette maison de 2 étages comprend au rez-de-chaussée c cuisine, wc. Etage 1: salon  Etage 2 :chambre avec salle de bain. ...";"pap"
"locations";"maisons";"1300";"110.0";"3";"2";"Fontarèches";"30580";"Villa de 110 m2 construite en 2024 sur la commune de Fontarèches (30580) Équipée d’un chauffage et climatisation gainable Des panneaux solaires permettent une faible consommation d’électricité Il y a...";"pap"
"locations";"maisons";"1100";"70.0";"3";"2";"Bégaar";"40400";"Maison  dans un environnement très calme et naturel / bord d' Adour. Propriété totale de 3 ha. **Décoration soignée** : parquet chaleureux dans toutes les pièces /salon cathédrale avec canapé lit /...";"pap"
"locations";"maisons";"2100";"127.0";"5";"4";"Celle-Les-Bordes";"78720";"Charmante maison 5 pièces – 127 m² – Grande terrasse plein sud – Ancien corps de ferme  Située dans un ancien corps de ferme, à environ 2 km du village, cette maison offre un cadre calme et agréable,...";"pap"
"locations";"maisons";"2225";"65.0";"4";"3";"Nanterre";"92000";"Bienvenus dans un triplex lumineux et calme au cœur de Nanterre, niché dans une rue privée fermée, à deux pas de la rue commerçante. À seulement 7 min du RER A, 5 min de La Défense et 15 min de...";"pap"
"locations";"maisons";"3500";"114.0";"5";"3";"Asnières-Sur-Seine";"92600";"Maison coup de cœur située en plein centre d'Asnières - a 2 pas de la mairie, des commerces, des écoles (crèche, maternelle, élémentaire), 8 min à pied de la gare d'Asnières et 10 min de la ligne 13...";"pap"
"locations";"maisons";"1500";"72.0";"4";"3";"Brétigny-Sur-Orge";"91220";"BRETIGNY SUR ORGE. DANS UN QUARTIER PAVILLONNAIRE CALME, PROCHE GARE RER C ET ZONE COMMERCIALE, UNE MAISON INDIVIDUELLE DE TYPE F4 D UNE SURFACE HABITABLE DE 72 M² COMPRENANT : UNE ENTREE AVEC...";"pap"
"locations";"maisons";"1190";"103.0";"4";"3";"Luisant";"28600";"Particulier loue maison à Luisant  de 103 m2 Dans une co-propriété Cuisine indépendante aménagée équipée séjour de 35 m2 Garage avec chaudière au gaz de ville porte électrique wc. A l'étage 3...";"pap"
"locations";"maisons";"1222";"80.0";"3";"2";"Agde";"34300";"Superbe Maison F3 de 80 m² + Terrasse 18 m² – entièrement rénové – Maison de ville meublée  Bâtiment historique, entièrement rénové – Maison de ville meublée  Découvrez cette somptueuse maison de...";"pap"
"locations";"maisons";"840";"66.0";"4";"3";"Gien";"45500";"Charmante maison de ville avec cour privée – Centre de Gien  Idéalement située en plein cœur de Gien, à proximité immédiate des écoles, collèges, lycées et commerces, cette maison de 66 m² offre un...";"pap"
"locations";"maisons";"1700";"93.0";"4";"3";"Villecresnes";"94440";"Chauffage au gaz, cuisine aménagée, à 5 minutes des commerces et du centre-ville.  3 chambres, un salon avec cheminée, une cuisine équipée, une salle d'eau avec 2 WC indépendants.  Garage et laverie...";"pap"
"locations";"maisons";"1600";"89.0";"4";"3";"Talence";"33400";"Maison 89 m2 sur terrain 35 m2 avec garage 50 m2, terrasse avec pergola et salon de jardin, barbecue. Proximité campus, lycée, collège, école.  Bois de Thouars. Accès immédiat à la rocade.";"pap"
"locations";"maisons";"2700";"160.0";"6";"4";"Bordeaux";"33000";"Quartier résidentiel  de Cauderan , secteur villa primerose,  rue calme, proche des écoles  de Tivoli et grand Lebrun et du parc bordelais. 4 chambres,  2 salles d'eau, un grand séjour/salle à...";"pap"
"locations";"maisons";"1370";"76.0";"3";"2";"Conflans-Sainte-Honorine";"78700";"Conflans Saint Honorine - Quartier Chènevière et Grandes Terres. Avenue du Soleil Levant. Maison, 76 m², 3 pièces avec terrasse privative de 35 m². Très bon état. Au rez-de-chaussée : Cuisine avec...";"pap"
"locations";"maisons";"4000";"165.0";"6";"5";"Saint-Germain-En-Laye";"78100";"Quartier recherché, à proximité du Lycée International, du Tram 13 (stations Fourqueux / Bel Air) permettant un accès rapide au RER, ainsi que des lignes de bus.  **Belle  maison d’architecte récente...";"pap"
"locations";"maisons";"1950";"62.0";"3";"2";"Meudon";"92190";"**Maison de charme rénovée** – Esprit contemporain centre-ville Meudon  Située face au centre culturel et à proximité immédiate du Potager du Dauphin, cette maison de ville entièrement rénovée...";"pap"
"locations";"maisons";"3200";"170.0";"9";"5";"Mérignac";"33700";"**Très grande et belle maison ensoleillée** à proximité de toutes les commodités : transports en commun ( bus et tram), écoles (crèche, primaire, collège et lycée), commerces, restaurants) dans un...";"pap"
"locations";"maisons";"1900";"195.0";"6";"5";"Pin-Balma";"31130";"Particulier à Particulier loue Très belle villa de 195 m2 dans lotissement privé et résidentiel à 10 minutes du métro. Elle est composée d'une salle manger avec cheminée de 50 m2 donnant sur la...";"pap"
"locations";"maisons";"1560";"91.0";"3";"1";"Chevreuse";"78460";"Chevreuse : à louer 3 pièces meublé.  Au coeur du parc naturel de la vallée de Chevreuse, au calme, maison de charme mitoyenne, 91 m², de plain-pied sur jardin et terrasse privatifs. Au...";"pap"
