"type";"ville";"prix";"surface";"nb_pieces";"nb_chambres";"description"
"ventes-appartements";"Paris 10E (75010)";"625000";"78";"4";"3";"**Bel appartement familial avec beaucoup de potentiel**, au sein d'un immeuble bien entretenu. Emplacement recherché,  rue de l'Aqueduc, devenu interdit à la circulation dans les 2 sens.  D'une..."
"ventes-appartements";"Paris 10E (75010)";"900000";"90";"4";"2";"Charmant 4 pièces de 68m² Carrez avec 41m² de terrasse - Canal Saint-Martin  Situé au premier étage d’une copropriété semi-récente de standing, cet appartement traversant de 4 pièces développe une..."
"ventes-appartements";"Paris 11E (75011)";"415000";"35";"2";"1";"Charmant appartement de 35 m² — Entièrement rénové et très calme — Paris 11ᵉ  Découvrez ce ravissant appartement de 35 m², parfaitement agencé et situé au cœur du très recherché 11ᵉ arrondissement,..."
"ventes-appartements";"Paris 11E (75011)";"700000";"65";"3";"2";"À proximité de la place de la Bastille et de tous les commerces.  Copropriété avec ravalement en cours, voté payé.  11ᵉ et dernier étage. Traversant. Séjour, cuisine séparée, deux chambres, salle de..."
"ventes-appartements";"Paris 12E (75012)";"530000";"58";"3";"2";"Coulée verte  / Daumesnil  Trois pièces lumineux 58 m2 à la vue dégagée sur la coulée verte ! Dans un bel immeuble ancien entièrement ravalé intérieur et extérieur. Découvrez  un  appartement de..."
"ventes-appartements";"Paris 13E (75013)";"549000";"43";"2";"1";"Aménagement intérieur 2 pièces transformées en un open-space lumineux et fonctionnel de 34 m². Entrée de 3 m². SdB avec douche à l’italienne, WC suspendu de 6 m² Cuisine entièrement équipée :..."
"ventes-appartements";"Paris 14E (75014)";"1850000";"154";"6";"4";"Venez découvrir ce bien rare sur les toits de Paris!  Ce duplex de 154 m2 en dernier niveau (12eme et 13eme étage) bénéficie d'une situation exceptionnelle:  - vue dégagée sur tout Paris;  -..."
"ventes-appartements";"Paris 15E (75015)";"320000";"42";"2";"1";"Paris 15e - Face au square Desnouettes, dans un bel immeuble Pierre de Taille des années 1920, nous vous proposons ce joli 2 pièces de 42 m2 en rez-de-chaussée sur le square avec vue dégagée, composé..."
"ventes-appartements";"Paris 10E (75010)";"669000";"52";"2";"1";"Situé au 5ᵉ étage sur 6 avec ascenseur d'une **charmante copropriété ancienne bien entretenue, appartement de 2 pièces (ancien 3 pièces)** d'une surface de 51,9 m² Carrez, bénéficiant d'une triple..."
"ventes-appartements";"Paris 10E (75010)";"199000";"19";"1";"";"Proche canal saint martin,métro colonel fabien premier étage sur jardin,calme. 19 m2 bien distribué sans perte de place.  Cuisinette séparée (frigo,plaque ) Salle d'eau avec branchement machine à..."
